Unnamed: 0,gene_name,sampl_1
ENSG00000010219.12,DYRK4,138922.8432
ENSG00000010244.15,ZNF207,247380.7938
ENSG00000010256.9,UQCRC1,2281129.161
ENSG00000010270.12,STARD3NL,125150.5674
ENSG00000010278.10,CD9,4026937.124
ENSG00000010282.13,HHATL,139.321749
ENSG00000010292.11,NCAPD2,402158.2742
ENSG00000010295.18,IFFO1,16024.46464
ENSG00000010310.7,GIPR,28660.59595
ENSG00000010318.18,PHF7,49082.53318
ENSG00000010319.5,SEMA3G,3617.055066
ENSG00000010322.14,NISCH,246565.3991
ENSG00000010327.9,STAB1,28987.31888
ENSG00000010361.12,FUZ,11332.43106
ENSG00000010379.14,SLC6A13,1518.846764
ENSG00000010404.16,IDS,141397.5111
ENSG00000010438.15,PRSS3,1263041.912
ENSG00000010539.10,ZNF200,77998.84823
ENSG00000010610.8,CD4,31287.23255
ENSG00000010626.13,LRRC23,109597.0843
ENSG00000010671.14,BTK,2200.979106
ENSG00000010704.17,HFE,54437.29132
ENSG00000010803.15,SCMH1,319632.9465
ENSG00000010810.16,FYN,56359.73632
ENSG00000010818.7,HIVEP2,63833.12299
ENSG00000010932.14,FMO1,1677.314726
ENSG00000011007.11,TCEB3,223915.6356
ENSG00000011009.9,LYPLA2,961461.0393
ENSG00000011021.20,CLCN6,51435.91096
ENSG00000011028.12,MRC2,27830.51452
ENSG00000011052.20,NME2,12657.8468
ENSG00000011083.7,SLC6A7,53752.81196
ENSG00000011105.10,TSPAN9,74507.80353
ENSG00000011114.13,BTBD7,93293.50903
ENSG00000011132.10,APBA3,86413.387
ENSG00000011143.15,MKS1,117436.1061
ENSG00000011198.6,ABHD5,92187.16331
ENSG00000011201.9,KAL1,1411.873164
ENSG00000011243.16,AKAP8L,267066.1376
ENSG00000011258.14,MBTD1,86697.36471
ENSG00000011260.12,UTP18,318404.2662
ENSG00000011275.17,RNF216,128356.4562
ENSG00000011295.14,TTC19,386778.7297
ENSG00000011304.15,PTBP1,1286224.945
ENSG00000011332.18,DPF1,1006.947941
ENSG00000011347.8,SYT7,164345.8121
ENSG00000011376.8,LARS2,169834.9429
ENSG00000011405.12,PIK3C2A,124588.474
ENSG00000011422.10,PLAUR,364281.5481
ENSG00000011426.9,ANLN,153286.5528
ENSG00000011451.16,WIZ,182957.3208
ENSG00000011454.15,RABGAP1,162966.8639
ENSG00000011465.15,DCN,18497.68148
ENSG00000011478.10,QPCTL,212484.507
ENSG00000011485.13,PPP5C,206096.9521
ENSG00000011523.12,CEP68,87440.86954
ENSG00000011566.13,MAP4K3,179979.2891
ENSG00000011590.12,ZBTB32,7852.012824
ENSG00000011600.10,TYROBP,107466.9908
ENSG00000011638.9,TMEM159,430806.8125
ENSG00000011677.11,GABRA3,0
ENSG00000012048.18,BRCA1,45165.08146
ENSG00000012061.14,ERCC1,210996.7672
ENSG00000012124.13,CD22,392.3810778
ENSG00000012171.16,SEMA3B,824272.7804
ENSG00000012174.10,MBTPS2,37223.3472
ENSG00000012211.11,PRICKLE3,89030.08719
ENSG00000012223.11,LTF,15363.83955
ENSG00000012232.7,EXTL3,79032.4647
ENSG00000012504.12,NR1H4,22932.80281
ENSG00000012660.12,ELOVL5,104788.0784
ENSG00000012779.9,ALOX5,672090.5076
ENSG00000012817.14,KDM5D,255.3814919
ENSG00000012822.14,CALCOCO1,316999.6147
ENSG00000012963.12,UBR7,204333.5616
ENSG00000012983.10,MAP4K5,116340.8093
ENSG00000013016.13,EHD3,9383.12145
ENSG00000013275.6,PSMC4,753418.1074
ENSG00000013288.7,MAN2B2,227100.8235
ENSG00000013293.5,SLC7A14,0
ENSG00000013297.9,CLDN11,3472.234279
ENSG00000013306.14,SLC25A39,1359922.318
ENSG00000013364.17,MVP,1913611.016
ENSG00000013374.14,NUB1,252044.0383
ENSG00000013375.14,PGM3,192740.9555
ENSG00000013392.7,RWDD2A,76919.63437
ENSG00000013441.14,CLK1,395144.2906
ENSG00000013503.8,POLR3B,80423.17847
ENSG00000013523.8,ANGEL1,107005.8803
ENSG00000013561.16,RNF14,188103.6097
ENSG00000013563.12,DNASE1L1,159161.166
