gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000005007.11,UPF1,133571.1756,254321.6018,154269.1355
ENSG00000005020.11,SKAP2,393306.9754,462424.7591,443018.2035
ENSG00000005022.5,SLC25A5,1111142.735,874232.5213,802961.0277
ENSG00000005059.14,CCDC109B,59062.3092,91142.6961,61836.6436
ENSG00000005073.5,HOXA11,4441.3495,7469.0658,6115.4859
ENSG00000005075.14,POLR2J,247437.7953,168386.7106,192045.8133
ENSG00000005100.11,DHX33,69506.1361,82063.6239,50010.9455
ENSG00000005102.11,MEOX1,1892.5366,8121.371,3474.5538
ENSG00000005108.14,THSD7A,140836.8488,280153.2084,141474.8804
ENSG00000005156.10,LIG3,65916.2866,76715.4845,67344.1903
ENSG00000005175.8,RPAP3,95207.1479,102912.6602,94679.6012
ENSG00000005187.10,ACSM3,87036.8983,72923.8024,46895.816
ENSG00000005189.18,AC004381.6,33761.0214,31340.8904,18035.943
ENSG00000005194.13,CIAPIN1,161085.3029,176610.6237,227240.618
ENSG00000005206.15,SPPL2B,92370.6218,77751.3606,75485.3184
ENSG00000005238.18,FAM214B,63504.6911,69625.0547,56175.0861
ENSG00000005243.8,COPZ2,221419.6273,112030.1435,231766.9655
ENSG00000005249.11,PRKAR2B,24915.4769,30273.0325,19604.1119
ENSG00000005302.16,MSL3,87628.2264,95492.7426,75210.8316
ENSG00000005339.11,CREBBP,162254.8153,288373.8303,133477.2025
ENSG00000005379.14,BZRAP1,79213.3235,57303.4953,67698.4272
ENSG00000005381.7,MPO,807.1936,1179.5915,1630.141
ENSG00000005421.7,PON1,1809.003,3776.5491,2767.6604
ENSG00000005436.12,GCFC2,152073.2149,140145.3315,146386.0933
ENSG00000005448.15,WDR54,171366.9851,120705.2009,232399.8666
ENSG00000005469.10,CROT,78885.4672,89502.4701,101379.4186
ENSG00000005471.14,ABCB4,74439.3247,65887.5288,33329.5158
ENSG00000005483.18,KMT2E,348025.566,635620.8024,374936.6056
ENSG00000005486.15,RHBDD2,179095.007,253882.2935,202720.1859
ENSG00000005513.9,SOX8,899.0593,2547.2392,117.9003
ENSG00000005700.13,IBTK,316334.8028,337826.6526,367127.968
ENSG00000005801.15,ZNF195,133509.0089,150807.9465,177015.4702
ENSG00000005810.16,MYCBP2,453958.3758,500569.4896,437919.4566
